Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1308042591959748612;https://t.co/Hsbu9AVmdN;sad pics for sad people;sadpicturess;2020-09-21T13:57:10.000Z;Mon Sep 21 13:57:10 +0000 2020;3366;130;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EicZzHkXsAEeTB4.jpg;;;
1308039149509844993;RT @sadpicturess : https://t.co/e2xLuzaJLb;sad pics for sad people;sadpicturess;2020-09-21T13:43:30.000Z;Mon Sep 21 13:43:30 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EibdgEeX0AA72MA.jpg;;;
1308039104576323584;"RT @BetnisT : Fav'a tıkla, maskeyi tak!Koronavirüse yakalanma şansını azaltmak için maske takmayı deneyin! 

İyi bir bahis deneyimi içinse Betnis Deneme Bonusu'nu! Hemen tıkla, 20 TL Deneme Bonusu veya 20 Deneme FreeSpin ile bu ayrıcalıklı dünyaya katıl!

https://t.co/9mxyjxOhb8 #WearAMask https://t.co/7wDyZ4EWdU";sad pics for sad people;sadpicturess;2020-09-21T13:43:19.000Z;Mon Sep 21 13:43:19 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;https://bit.ly/3hKcyra ;1;0;photo;https://pbs.twimg.com/media/EicWMQUWAAMxTGt.jpg;;;
1308037220008374273;RT @sadpicturess : https://t.co/mr87fobgQC;sad pics for sad people;sadpicturess;2020-09-21T13:35:50.000Z;Mon Sep 21 13:35:50 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EicJ6gsXYAI7Ts3.jpg;;;
1308037211842064387;RT @sadpicturess : https://t.co/kqh7KJ6UPz;sad pics for sad people;sadpicturess;2020-09-21T13:35:48.000Z;Mon Sep 21 13:35:48 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EicLza1WoAExW4h.jpg;;;
1308035763184046086;"RT @BetPuan : KAYBETMEYE SON, YATIRIM YAP PUAN KAZAN!

İster
⚽️Free Bet,
İstersen 
🎰Free Spin!

🎁Canlı Destek hattından talep etmeyi unutma!
Güncel Adres ; 
👉🏽📱💻
https://t.co/uIuPZPFjAc
#BetPuan #EnYüksekOran #FreeBet #FreeSpin #OnlineBahis #Casino #Slot https://t.co/BsDw27jUYp";sad pics for sad people;sadpicturess;2020-09-21T13:30:02.000Z;Mon Sep 21 13:30:02 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;http://BetPuan16.com ;7;0;photo;https://pbs.twimg.com/media/EicSpiTXgAEmOoV.jpg;;;
1308027202374709248;https://t.co/kqh7KJ6UPz;sad pics for sad people;sadpicturess;2020-09-21T12:56:01.000Z;Mon Sep 21 12:56:01 +0000 2020;1492;45;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EicLza1WoAExW4h.jpg;;;
1308025124461965312;https://t.co/mr87fobgQC;sad pics for sad people;sadpicturess;2020-09-21T12:47:46.000Z;Mon Sep 21 12:47:46 +0000 2020;2534;133;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EicJ6gsXYAI7Ts3.jpg;;;
1308024644562284546;RT @sadpicturess : İlk ders https://t.co/HldGiG51n8;sad pics for sad people;sadpicturess;2020-09-21T12:45:51.000Z;Mon Sep 21 12:45:51 +0000 2020;0;0;en;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/Eiax5d8WkAEDzWO.jpg;;;
1308019220664508418;RT @betexper_com : Sadece 100 TL tutmuş https://t.co/VadFMpRGgg;sad pics for sad people;sadpicturess;2020-09-21T12:24:18.000Z;Mon Sep 21 12:24:18 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EicD76aXcAYDkXa.jpg;;;
